v1	I(V1)
6.059073073073061e-01	5.920157e+00
6.061993073073061e-01	5.918526e+00
6.064913073073060e-01	5.916881e+00
6.067833073073060e-01	5.915222e+00
6.070753073073060e-01	5.913549e+00
6.073673073073059e-01	5.911862e+00
6.076593073073059e-01	5.910162e+00
6.079513073073058e-01	5.908447e+00
6.082433073073058e-01	5.906718e+00
6.085353073073058e-01	5.904974e+00
6.088273073073057e-01	5.903216e+00
6.091193073073057e-01	5.901443e+00
6.094113073073056e-01	5.899655e+00
6.097033073073056e-01	5.897852e+00
6.099953073073056e-01	5.896034e+00
6.102873073073055e-01	5.894201e+00
6.105793073073055e-01	5.892353e+00
6.108713073073054e-01	5.890489e+00
6.111633073073054e-01	5.888609e+00
6.114553073073054e-01	5.886713e+00
6.117473073073053e-01	5.884801e+00
6.120393073073053e-01	5.882874e+00
6.123313073073052e-01	5.880929e+00
6.126233073073052e-01	5.878969e+00
6.129153073073051e-01	5.876992e+00
6.132073073073051e-01	5.874998e+00
6.134993073073051e-01	5.872987e+00
6.137913073073050e-01	5.870960e+00
6.140833073073050e-01	5.868915e+00
6.143753073073049e-01	5.866853e+00
6.146673073073049e-01	5.864773e+00
6.149593073073049e-01	5.862675e+00
6.152513073073048e-01	5.860560e+00
6.155433073073048e-01	5.858427e+00
6.158353073073047e-01	5.856275e+00
6.161273073073047e-01	5.854105e+00
6.164193073073047e-01	5.851917e+00
6.167113073073046e-01	5.849710e+00
6.170033073073046e-01	5.847484e+00
6.172953073073045e-01	5.845239e+00
6.175873073073045e-01	5.842975e+00
6.178793073073044e-01	5.840691e+00
6.181713073073044e-01	5.838388e+00
6.184633073073044e-01	5.836065e+00
6.187553073073043e-01	5.833722e+00
6.190473073073043e-01	5.831359e+00
6.193393073073042e-01	5.828976e+00
6.196313073073042e-01	5.826572e+00
6.199233073073042e-01	5.824148e+00
6.202153073073041e-01	5.821703e+00
6.205073073073041e-01	5.819236e+00
6.207993073073040e-01	5.816749e+00
6.210913073073040e-01	5.814240e+00
6.213833073073040e-01	5.811709e+00
6.216753073073039e-01	5.809156e+00
6.219673073073039e-01	5.806582e+00
6.222593073073038e-01	5.803985e+00
6.225513073073038e-01	5.801365e+00
6.228433073073038e-01	5.798723e+00
6.231353073073037e-01	5.796058e+00
6.234273073073037e-01	5.793370e+00
6.237193073073036e-01	5.790659e+00
6.240113073073036e-01	5.787924e+00
6.243033073073035e-01	5.785165e+00
6.245953073073035e-01	5.782382e+00
6.248873073073035e-01	5.779575e+00
6.251793073073034e-01	5.776744e+00
6.254713073073034e-01	5.773888e+00
6.257633073073033e-01	5.771008e+00
6.260553073073033e-01	5.768101e+00
6.263473073073033e-01	5.765170e+00
6.266393073073032e-01	5.762213e+00
6.269313073073032e-01	5.759230e+00
6.272233073073031e-01	5.756221e+00
6.275153073073031e-01	5.753186e+00
6.278073073073031e-01	5.750124e+00
6.280993073073030e-01	5.747036e+00
6.283913073073030e-01	5.743920e+00
6.286833073073029e-01	5.740777e+00
6.289753073073029e-01	5.737607e+00
6.292673073073028e-01	5.734409e+00
6.295593073073028e-01	5.731182e+00
6.298513073073028e-01	5.727928e+00
6.301433073073027e-01	5.724644e+00
6.304353073073027e-01	5.721332e+00
6.307273073073026e-01	5.717991e+00
6.310193073073026e-01	5.714620e+00
6.313113073073026e-01	5.711220e+00
6.316033073073025e-01	5.707789e+00
6.318953073073025e-01	5.704329e+00
6.321873073073024e-01	5.700838e+00
6.324793073073024e-01	5.697316e+00
6.327713073073024e-01	5.693763e+00
6.330633073073023e-01	5.690178e+00
6.333553073073023e-01	5.686562e+00
6.336473073073022e-01	5.682914e+00
6.339393073073022e-01	5.679234e+00
6.342313073073022e-01	5.675521e+00
6.345233073073021e-01	5.671775e+00
6.348153073073021e-01	5.667996e+00
6.351073073073060e-01	5.664184e+00
