v1	I(V1)
4.744949189189180e+01	9.839005e+00
4.745035589189180e+01	9.838849e+00
4.745121989189180e+01	9.838694e+00
4.745208389189180e+01	9.838537e+00
4.745294789189180e+01	9.838381e+00
4.745381189189180e+01	9.838223e+00
4.745467589189180e+01	9.838065e+00
4.745553989189180e+01	9.837907e+00
4.745640389189180e+01	9.837749e+00
4.745726789189180e+01	9.837588e+00
4.745813189189180e+01	9.837429e+00
4.745899589189180e+01	9.837268e+00
4.745985989189180e+01	9.837107e+00
4.746072389189180e+01	9.836946e+00
4.746158789189180e+01	9.836783e+00
4.746245189189180e+01	9.836620e+00
4.746331589189180e+01	9.836457e+00
4.746417989189180e+01	9.836293e+00
4.746504389189180e+01	9.836129e+00
4.746590789189180e+01	9.835964e+00
4.746677189189180e+01	9.835799e+00
4.746763589189180e+01	9.835633e+00
4.746849989189180e+01	9.835466e+00
4.746936389189180e+01	9.835299e+00
4.747022789189180e+01	9.835132e+00
4.747109189189180e+01	9.834964e+00
4.747195589189180e+01	9.834795e+00
4.747281989189180e+01	9.834625e+00
4.747368389189180e+01	9.834455e+00
4.747454789189180e+01	9.834286e+00
4.747541189189180e+01	9.834114e+00
4.747627589189180e+01	9.833943e+00
4.747713989189180e+01	9.833771e+00
4.747800389189180e+01	9.833598e+00
4.747886789189180e+01	9.833426e+00
4.747973189189180e+01	9.833251e+00
4.748059589189180e+01	9.833077e+00
4.748145989189180e+01	9.832902e+00
4.748232389189180e+01	9.832726e+00
4.748318789189180e+01	9.832551e+00
4.748405189189180e+01	9.832375e+00
4.748491589189180e+01	9.832197e+00
4.748577989189180e+01	9.832020e+00
4.748664389189180e+01	9.831841e+00
4.748750789189180e+01	9.831662e+00
4.748837189189180e+01	9.831483e+00
4.748923589189180e+01	9.831303e+00
4.749009989189180e+01	9.831122e+00
4.749096389189180e+01	9.830941e+00
4.749182789189180e+01	9.830760e+00
4.749269189189180e+01	9.830578e+00
4.749355589189180e+01	9.830395e+00
4.749441989189180e+01	9.830212e+00
4.749528389189180e+01	9.830028e+00
4.749614789189180e+01	9.829843e+00
4.749701189189180e+01	9.829658e+00
4.749787589189180e+01	9.829472e+00
4.749873989189180e+01	9.829286e+00
4.749960389189180e+01	9.829099e+00
4.750046789189180e+01	9.828912e+00
4.750133189189180e+01	9.828723e+00
4.750219589189180e+01	9.828535e+00
4.750305989189180e+01	9.828345e+00
4.750392389189180e+01	9.828156e+00
4.750478789189180e+01	9.827966e+00
4.750565189189180e+01	9.827775e+00
4.750651589189180e+01	9.827583e+00
4.750737989189180e+01	9.827392e+00
4.750824389189180e+01	9.827199e+00
4.750910789189180e+01	9.827005e+00
4.750997189189180e+01	9.826812e+00
4.751083589189180e+01	9.826617e+00
4.751169989189180e+01	9.826423e+00
4.751256389189180e+01	9.826227e+00
4.751342789189180e+01	9.826032e+00
4.751429189189180e+01	9.825834e+00
4.751515589189180e+01	9.825638e+00
4.751601989189180e+01	9.825439e+00
4.751688389189180e+01	9.825241e+00
4.751774789189180e+01	9.825043e+00
4.751861189189180e+01	9.824842e+00
4.751947589189180e+01	9.824643e+00
4.752033989189180e+01	9.824442e+00
4.752120389189180e+01	9.824241e+00
4.752206789189180e+01	9.824039e+00
4.752293189189180e+01	9.823837e+00
4.752379589189180e+01	9.823634e+00
4.752465989189180e+01	9.823430e+00
4.752552389189180e+01	9.823226e+00
4.752638789189180e+01	9.823022e+00
4.752725189189180e+01	9.822817e+00
4.752811589189180e+01	9.822611e+00
4.752897989189180e+01	9.822404e+00
4.752984389189180e+01	9.822197e+00
4.753070789189180e+01	9.821990e+00
4.753157189189180e+01	9.821781e+00
4.753243589189180e+01	9.821573e+00
4.753329989189180e+01	9.821363e+00
4.753416389189180e+01	9.821154e+00
4.753502789189180e+01	9.820944e+00
4.753589189189180e+01	9.820732e+00
