v1	I(V1)
0.000000000000000e+00	2.251336e+01
1.400000000000000e+01	2.241099e+01
2.800000000000000e+01	2.229600e+01
4.200000000000000e+01	2.210967e+01
5.600000000000000e+01	2.178407e+01
7.000000000000000e+01	2.168367e+01
8.400000000000000e+01	2.151335e+01
9.800000000000000e+01	2.129848e+01
1.120000000000000e+02	2.098505e+01
1.260000000000000e+02	2.084739e+01
1.400000000000000e+02	2.071078e+01
1.540000000000000e+02	2.011749e+01
1.680000000000000e+02	1.987343e+01
1.820000000000000e+02	1.921588e+01
1.960000000000000e+02	1.846627e+01
2.100000000000000e+02	1.824103e+01
2.240000000000000e+02	1.800131e+01
2.380000000000000e+02	1.780056e+01
2.520000000000000e+02	1.764281e+01
2.660000000000000e+02	1.746721e+01
2.800000000000000e+02	1.729333e+01
2.940000000000000e+02	1.716760e+01
3.080000000000000e+02	1.705611e+01
3.220000000000000e+02	1.693179e+01
3.360000000000000e+02	1.684770e+01
3.500000000000000e+02	1.677714e+01
3.640000000000000e+02	1.670873e+01
3.780000000000000e+02	1.664029e+01
3.920000000000000e+02	1.655191e+01
4.060000000000000e+02	1.646745e+01
4.200000000000000e+02	1.639254e+01
4.340000000000000e+02	1.632455e+01
4.480000000000000e+02	1.626696e+01
4.620000000000000e+02	1.622246e+01
4.760000000000000e+02	1.617788e+01
4.900000000000000e+02	1.612967e+01
5.040000000000000e+02	1.608496e+01
5.180000000000000e+02	1.602954e+01
5.320000000000000e+02	1.598948e+01
5.460000000000000e+02	1.592807e+01
5.600000000000000e+02	1.588920e+01
5.740000000000000e+02	1.586508e+01
5.880000000000000e+02	1.584128e+01
6.020000000000000e+02	1.581731e+01
6.160000000000000e+02	1.578708e+01
6.300000000000000e+02	1.575265e+01
6.440000000000000e+02	1.572409e+01
6.580000000000000e+02	1.569887e+01
6.720000000000000e+02	1.567124e+01
6.860000000000000e+02	1.564315e+01
7.000000000000000e+02	1.561729e+01
7.140000000000000e+02	1.559021e+01
7.280000000000000e+02	1.555467e+01
7.420000000000000e+02	1.552070e+01
7.560000000000000e+02	1.548142e+01
7.700000000000000e+02	1.544450e+01
7.840000000000000e+02	1.541097e+01
7.980000000000000e+02	1.537914e+01
8.120000000000000e+02	1.534773e+01
8.260000000000000e+02	1.531716e+01
8.400000000000000e+02	1.528653e+01
8.540000000000000e+02	1.525834e+01
8.680000000000000e+02	1.523074e+01
8.820000000000000e+02	1.520442e+01
8.960000000000000e+02	1.517696e+01
9.100000000000000e+02	1.515214e+01
9.240000000000000e+02	1.512669e+01
9.380000000000000e+02	1.510002e+01
9.520000000000000e+02	1.507138e+01
9.660000000000000e+02	1.504556e+01
9.800000000000000e+02	1.500803e+01
9.940000000000000e+02	1.496667e+01
1.008000000000000e+03	1.492614e+01
1.022000000000000e+03	1.487714e+01
1.036000000000000e+03	1.482209e+01
1.050000000000000e+03	1.476532e+01
1.064000000000000e+03	1.470496e+01
1.078000000000000e+03	1.463648e+01
1.092000000000000e+03	1.455916e+01
1.106000000000000e+03	1.447355e+01
1.120000000000000e+03	1.437573e+01
1.134000000000000e+03	1.426725e+01
1.148000000000000e+03	1.413922e+01
1.162000000000000e+03	1.398448e+01
1.176000000000000e+03	1.379846e+01
1.190000000000000e+03	1.357394e+01
1.204000000000000e+03	1.329582e+01
1.218000000000000e+03	1.295753e+01
1.232000000000000e+03	1.255041e+01
1.246000000000000e+03	1.205587e+01
1.260000000000000e+03	1.146322e+01
1.274000000000000e+03	1.074982e+01
1.288000000000000e+03	9.894083e+00
1.302000000000000e+03	8.874907e+00
1.316000000000000e+03	7.672912e+00
1.330000000000000e+03	6.259713e+00
1.344000000000000e+03	4.604135e+00
1.358000000000000e+03	2.353673e+00
1.372000000000000e+03	-1.223744e+00
1.386000000000000e+03	-5.389961e+00
1.400000000000000e+03	-1.002327e+01
