v1	I(V1)
0.000000000000000e+00	1.388891e+01
5.400000000000000e-01	1.388891e+01
1.080000000000000e+00	1.388891e+01
1.620000000000000e+00	1.388891e+01
2.160000000000000e+00	1.388890e+01
2.700000000000000e+00	1.388890e+01
3.240000000000000e+00	1.388890e+01
3.780000000000000e+00	1.388889e+01
4.320000000000000e+00	1.388889e+01
4.860000000000000e+00	1.388888e+01
5.400000000000000e+00	1.388888e+01
5.940000000000000e+00	1.388888e+01
6.480000000000000e+00	1.388887e+01
7.020000000000000e+00	1.388887e+01
7.560000000000000e+00	1.388886e+01
8.100000000000001e+00	1.388885e+01
8.640000000000001e+00	1.388885e+01
9.180000000000000e+00	1.388884e+01
9.719999999999999e+00	1.388883e+01
1.026000000000000e+01	1.388883e+01
1.080000000000000e+01	1.388882e+01
1.134000000000000e+01	1.388881e+01
1.188000000000000e+01	1.388879e+01
1.241999999999999e+01	1.388878e+01
1.295999999999999e+01	1.388877e+01
1.349999999999999e+01	1.388875e+01
1.403999999999999e+01	1.388873e+01
1.457999999999999e+01	1.388871e+01
1.511999999999999e+01	1.388868e+01
1.565999999999999e+01	1.388866e+01
1.619999999999999e+01	1.388862e+01
1.673999999999999e+01	1.388859e+01
1.727999999999999e+01	1.388855e+01
1.781999999999999e+01	1.388850e+01
1.835999999999999e+01	1.388844e+01
1.889999999999998e+01	1.388838e+01
1.943999999999998e+01	1.388830e+01
1.997999999999998e+01	1.388822e+01
2.051999999999998e+01	1.388812e+01
2.105999999999998e+01	1.388801e+01
2.159999999999998e+01	1.388788e+01
2.213999999999998e+01	1.388773e+01
2.267999999999998e+01	1.388755e+01
2.321999999999998e+01	1.388735e+01
2.375999999999998e+01	1.388712e+01
2.429999999999998e+01	1.388685e+01
2.483999999999997e+01	1.388654e+01
2.537999999999997e+01	1.388618e+01
2.591999999999997e+01	1.388577e+01
2.645999999999997e+01	1.388529e+01
2.699999999999997e+01	1.388473e+01
2.753999999999997e+01	1.388409e+01
2.807999999999997e+01	1.388334e+01
2.861999999999997e+01	1.388247e+01
2.915999999999997e+01	1.388147e+01
2.969999999999997e+01	1.388031e+01
3.023999999999997e+01	1.387896e+01
3.077999999999997e+01	1.387740e+01
3.131999999999996e+01	1.387558e+01
3.185999999999996e+01	1.387347e+01
3.239999999999996e+01	1.387101e+01
3.293999999999996e+01	1.386816e+01
3.347999999999996e+01	1.386483e+01
3.401999999999996e+01	1.386096e+01
3.455999999999996e+01	1.385644e+01
3.509999999999996e+01	1.385115e+01
3.563999999999996e+01	1.384497e+01
3.617999999999996e+01	1.383772e+01
3.671999999999996e+01	1.382922e+01
3.725999999999996e+01	1.381921e+01
3.779999999999995e+01	1.380742e+01
3.833999999999995e+01	1.379348e+01
3.887999999999995e+01	1.377697e+01
3.941999999999995e+01	1.375734e+01
3.995999999999995e+01	1.373394e+01
4.049999999999995e+01	1.370594e+01
4.103999999999995e+01	1.367233e+01
4.157999999999995e+01	1.363183e+01
4.211999999999995e+01	1.358282e+01
4.265999999999995e+01	1.352329e+01
4.319999999999995e+01	1.345069e+01
4.373999999999995e+01	1.336183e+01
4.427999999999994e+01	1.325265e+01
4.481999999999994e+01	1.311810e+01
4.535999999999994e+01	1.295186e+01
4.589999999999994e+01	1.274609e+01
4.643999999999994e+01	1.249117e+01
4.697999999999994e+01	1.217551e+01
4.751999999999994e+01	1.178533e+01
4.805999999999994e+01	1.130472e+01
4.859999999999994e+01	1.071584e+01
4.913999999999994e+01	9.999475e+00
4.967999999999994e+01	9.135929e+00
5.021999999999993e+01	8.106178e+00
5.075999999999993e+01	6.893235e+00
5.129999999999993e+01	5.483424e+00
5.183999999999993e+01	3.867366e+00
5.237999999999993e+01	2.040486e+00
5.291999999999993e+01	2.965767e-03
5.345999999999993e+01	-2.240767e+00
5.400000000000000e+01	-4.682862e+00
