v1	I(V1)
0.000000000000000e+00	1.388891e+01
1.400000000000000e+01	1.388891e+01
2.800000000000000e+01	1.388891e+01
4.200000000000000e+01	1.388891e+01
5.600000000000000e+01	1.388890e+01
7.000000000000000e+01	1.388890e+01
8.400000000000000e+01	1.388890e+01
9.800000000000000e+01	1.388889e+01
1.120000000000000e+02	1.388889e+01
1.260000000000000e+02	1.388888e+01
1.400000000000000e+02	1.388888e+01
1.540000000000000e+02	1.388888e+01
1.680000000000000e+02	1.388887e+01
1.820000000000000e+02	1.388887e+01
1.960000000000000e+02	1.388886e+01
2.100000000000000e+02	1.388886e+01
2.240000000000000e+02	1.388885e+01
2.380000000000000e+02	1.388884e+01
2.520000000000000e+02	1.388883e+01
2.660000000000000e+02	1.388883e+01
2.800000000000000e+02	1.388882e+01
2.940000000000000e+02	1.388881e+01
3.080000000000000e+02	1.388879e+01
3.220000000000000e+02	1.388878e+01
3.360000000000000e+02	1.388877e+01
3.500000000000000e+02	1.388875e+01
3.640000000000000e+02	1.388873e+01
3.780000000000000e+02	1.388871e+01
3.920000000000000e+02	1.388869e+01
4.060000000000000e+02	1.388866e+01
4.200000000000000e+02	1.388863e+01
4.340000000000000e+02	1.388859e+01
4.480000000000000e+02	1.388855e+01
4.620000000000000e+02	1.388850e+01
4.760000000000000e+02	1.388845e+01
4.900000000000000e+02	1.388838e+01
5.040000000000000e+02	1.388831e+01
5.180000000000000e+02	1.388823e+01
5.320000000000000e+02	1.388813e+01
5.460000000000000e+02	1.388802e+01
5.600000000000000e+02	1.388789e+01
5.740000000000000e+02	1.388774e+01
5.880000000000000e+02	1.388758e+01
6.020000000000000e+02	1.388738e+01
6.160000000000000e+02	1.388715e+01
6.300000000000000e+02	1.388689e+01
6.440000000000000e+02	1.388658e+01
6.580000000000000e+02	1.388623e+01
6.720000000000000e+02	1.388583e+01
6.860000000000000e+02	1.388536e+01
7.000000000000000e+02	1.388481e+01
7.140000000000000e+02	1.388419e+01
7.280000000000000e+02	1.388346e+01
7.420000000000000e+02	1.388261e+01
7.560000000000000e+02	1.388164e+01
7.700000000000000e+02	1.388050e+01
7.840000000000000e+02	1.387919e+01
7.980000000000000e+02	1.387767e+01
8.120000000000000e+02	1.387590e+01
8.260000000000000e+02	1.387385e+01
8.400000000000000e+02	1.387146e+01
8.540000000000000e+02	1.386869e+01
8.680000000000000e+02	1.386546e+01
8.820000000000000e+02	1.386170e+01
8.960000000000000e+02	1.385731e+01
9.100000000000000e+02	1.385219e+01
9.240000000000000e+02	1.384621e+01
9.380000000000000e+02	1.383920e+01
9.520000000000000e+02	1.383097e+01
9.660000000000000e+02	1.382131e+01
9.800000000000000e+02	1.380993e+01
9.940000000000000e+02	1.379649e+01
1.008000000000000e+03	1.378059e+01
1.022000000000000e+03	1.376171e+01
1.036000000000000e+03	1.373922e+01
1.050000000000000e+03	1.371236e+01
1.064000000000000e+03	1.368015e+01
1.078000000000000e+03	1.364138e+01
1.092000000000000e+03	1.359454e+01
1.106000000000000e+03	1.353773e+01
1.120000000000000e+03	1.346854e+01
1.134000000000000e+03	1.338398e+01
1.148000000000000e+03	1.328022e+01
1.162000000000000e+03	1.315252e+01
1.176000000000000e+03	1.299492e+01
1.190000000000000e+03	1.280003e+01
1.204000000000000e+03	1.255877e+01
1.218000000000000e+03	1.226013e+01
1.232000000000000e+03	1.189099e+01
1.246000000000000e+03	1.143609e+01
1.260000000000000e+03	1.087820e+01
1.274000000000000e+03	1.019854e+01
1.288000000000000e+03	9.377595e+00
1.302000000000000e+03	8.396209e+00
1.316000000000000e+03	7.236875e+00
1.330000000000000e+03	5.885046e+00
1.344000000000000e+03	4.330206e+00
1.358000000000000e+03	2.566504e+00
1.372000000000000e+03	5.928568e-01
1.386000000000000e+03	-1.587441e+00
1.400000000000000e+03	-3.967466e+00
