v1	I(V1)
7.187655495495463e+02	1.696286e+00
7.187869895495463e+02	1.696242e+00
7.188084295495463e+02	1.696197e+00
7.188298695495463e+02	1.696153e+00
7.188513095495463e+02	1.696109e+00
7.188727495495463e+02	1.696065e+00
7.188941895495462e+02	1.696020e+00
7.189156295495462e+02	1.695976e+00
7.189370695495462e+02	1.695932e+00
7.189585095495462e+02	1.695888e+00
7.189799495495462e+02	1.695843e+00
7.190013895495462e+02	1.695799e+00
7.190228295495461e+02	1.695755e+00
7.190442695495461e+02	1.695710e+00
7.190657095495461e+02	1.695666e+00
7.190871495495461e+02	1.695621e+00
7.191085895495461e+02	1.695577e+00
7.191300295495461e+02	1.695533e+00
7.191514695495461e+02	1.695488e+00
7.191729095495460e+02	1.695444e+00
7.191943495495460e+02	1.695399e+00
7.192157895495460e+02	1.695355e+00
7.192372295495460e+02	1.695310e+00
7.192586695495460e+02	1.695266e+00
7.192801095495460e+02	1.695221e+00
7.193015495495459e+02	1.695176e+00
7.193229895495459e+02	1.695132e+00
7.193444295495459e+02	1.695087e+00
7.193658695495459e+02	1.695042e+00
7.193873095495459e+02	1.694997e+00
7.194087495495459e+02	1.694952e+00
7.194301895495458e+02	1.694907e+00
7.194516295495458e+02	1.694862e+00
7.194730695495458e+02	1.694817e+00
7.194945095495458e+02	1.694771e+00
7.195159495495458e+02	1.694726e+00
7.195373895495458e+02	1.694681e+00
7.195588295495457e+02	1.694635e+00
7.195802695495457e+02	1.694589e+00
7.196017095495457e+02	1.694543e+00
7.196231495495457e+02	1.694497e+00
7.196445895495457e+02	1.694451e+00
7.196660295495457e+02	1.694405e+00
7.196874695495457e+02	1.694359e+00
7.197089095495456e+02	1.694312e+00
7.197303495495456e+02	1.694265e+00
7.197517895495456e+02	1.694218e+00
7.197732295495456e+02	1.694171e+00
7.197946695495456e+02	1.694124e+00
7.198161095495456e+02	1.694076e+00
7.198375495495455e+02	1.694028e+00
7.198589895495455e+02	1.693980e+00
7.198804295495455e+02	1.693932e+00
7.199018695495455e+02	1.693884e+00
7.199233095495455e+02	1.693835e+00
7.199447495495455e+02	1.693786e+00
7.199661895495454e+02	1.693737e+00
7.199876295495454e+02	1.693687e+00
7.200090695495454e+02	1.693638e+00
7.200305095495454e+02	1.693588e+00
7.200519495495454e+02	1.693538e+00
7.200733895495454e+02	1.693488e+00
7.200948295495454e+02	1.693437e+00
7.201162695495453e+02	1.693386e+00
7.201377095495453e+02	1.693335e+00
7.201591495495453e+02	1.693284e+00
7.201805895495453e+02	1.693233e+00
7.202020295495453e+02	1.693181e+00
7.202234695495453e+02	1.693129e+00
7.202449095495452e+02	1.693077e+00
7.202663495495452e+02	1.693025e+00
7.202877895495452e+02	1.692973e+00
7.203092295495452e+02	1.692920e+00
7.203306695495452e+02	1.692867e+00
7.203521095495452e+02	1.692814e+00
7.203735495495451e+02	1.692761e+00
7.203949895495451e+02	1.692708e+00
7.204164295495451e+02	1.692654e+00
7.204378695495451e+02	1.692601e+00
7.204593095495451e+02	1.692547e+00
7.204807495495451e+02	1.692493e+00
7.205021895495451e+02	1.692439e+00
7.205236295495450e+02	1.692385e+00
7.205450695495450e+02	1.692331e+00
7.205665095495450e+02	1.692276e+00
7.205879495495450e+02	1.692222e+00
7.206093895495450e+02	1.692167e+00
7.206308295495450e+02	1.692112e+00
7.206522695495449e+02	1.692057e+00
7.206737095495449e+02	1.692002e+00
7.206951495495449e+02	1.691947e+00
7.207165895495449e+02	1.691892e+00
7.207380295495449e+02	1.691837e+00
7.207594695495449e+02	1.691781e+00
7.207809095495448e+02	1.691725e+00
7.208023495495448e+02	1.691670e+00
7.208237895495448e+02	1.691614e+00
7.208452295495448e+02	1.691558e+00
7.208666695495448e+02	1.691502e+00
7.208881095495448e+02	1.691446e+00
7.209095495495463e+02	1.691390e+00
